Country,Continent,Production(Tons),Production_per_person(Kg),Acreage(Hectare),Yield(Kg/Hectare)
Brazil,South America,768678382.0,3668.531,10226205.0,75167.5
India,Asia,348448000.0,260721.0,4950000.0,70393.5
China,Asia,123059739.0,88287.0,1675215.0,73459.1
Thailand,Asia,87468496.0,1264.303,1336575.0,65442.2
Pakistan,Asia,65450704.0,324219.0,1130820.0,57879.0
Mexico,North America,56446821.0,452524.0,781054.0,7227.0
Colombia,South America,36951213.0,740075.0,416626.0,88691.5
Australia,Oceania,34403004.0,1373.406,447204.0,76929.1
Guatemala,North America,33533403.0,1938.114,25985.0,129049.3
United States of America,North America,29926210.0,91304.0,37053.0,80766.0
Indonesia,Asia,27158830.0,10248.0,472693.0,57455.5
Philippines,Asia,22370546.0,210232.0,410104.0,54548.5
Argentina,South America,21990823.0,494237.0,331699.0,66297.5
Cuba,North America,18890972.0,1683.528,442307.0,42710.1
Vietnam,Asia,16313145.0,172334.0,256322.0,63643.2
Egypt,Africa,15760418.0,161651.0,137011.0,115030.6
South Africa,Africa,15074610.0,261143.0,246937.0,61046.3
Myanmar,Asia,10437058.0,193771.0,16365.0,63776.7
Peru,South America,9832526.0,314768.0,87696.0,112120.2
Ecuador,South America,8661609.0,507518.0,104661.0,82758.4
Iran,Asia,7687593.0,9403.0,95785.0,80259.1
El Salvador,North America,7202141.0,1084.111,79103.0,91047.6
Kenya,Africa,7094619.0,139244.0,86876.0,81663.7
Bolivia,South America,6910805.0,61118.0,152306.0,45374.5
Nicaragua,North America,6815147.0,1084.393,7413.0,91935.1
Paraguay,South America,6708000.0,951087.0,120.0,559.0
Swaziland,Africa,5583295.0,4816.299,57851.0,96511.4
Sudan,Africa,5525059.0,135428.0,69564.0,79424.5
Honduras,North America,5355700.0,59427.0,64666.0,82821.3
Dominican Republic,North America,4717490.0,459519.0,10681.0,44167.0
Nepal,Asia,4346754.0,148765.0,80931.0,53709.4
Zambia,Africa,4285839.0,253784.0,41695.0,102789.6
Bangladesh,Asia,4207592.0,25481.0,98357.0,42778.8
Costa Rica,North America,4158370.0,83111.0,6903.0,6024.0
Mauritius,Africa,3798448.0,3002.994,51477.0,73789.2
Uganda,Africa,3723019.0,95897.0,54911.0,67801.4
Zimbabwe,Africa,3483000.0,234563.0,435.0,80069.0
Venezuela,South America,3331252.0,104664.0,5223.0,63780.4
Madagascar,Africa,3005641.0,114445.0,94157.0,31921.6
Tanzania,Africa,2994127.0,55243.0,108487.0,27599.1
Malawi,Africa,2915406.0,162584.0,27087.0,107629.5
Mozambique,Africa,2761505.0,9568.0,42311.0,65266.8
Panama,North America,2419638.0,581814.0,37995.0,63683.1
Guyana,South America,2394553.0,3061.207,44311.0,54039.7
Congo-Kinshasa,Africa,2191333.0,2694.0,4891.0,44803.4
Laos,Asia,2019000.0,290036.0,3618.0,55804.3
Côte d'Ivoire,Africa,1982661.0,79606.0,25205.0,78660.3
Japan,Asia,1574000.0,12444.0,28901.0,54461.6
Fiji,Oceania,1556692.0,1759.199,36705.0,42411.3
Haiti,North America,1472712.0,132522.0,23184.0,63521.9
